Estado,Densidad,Poblacion
New Jersey,"1,263","9,290,841"
Rhode Island,"1,060","1,095,962"
Massachusetts,898,"7,001,399"
Guam[4],824,"172,952"
Connecticut,747,"3,617,176"
U.S. Virgin Islands[4],737,"98,750"
Maryland,637,"6,180,253"
American Samoa[4],578,"43,915"
Delaware,529,"1,031,890"
Florida,422,"22,610,726"
New York,415,"19,571,216"
Pennsylvania,290,"12,961,683"
Ohio,288,"11,785,935"
Northern Mariana Islands[4],274,"49,796"
California,250,"38,965,193"
Illinois,226,"12,549,689"
Hawaii,223,"1,435,138"
North Carolina,223,"10,835,491"
Virginia,221,"8,715,698"
Georgia,192,"11,029,227"
Indiana,192,"6,862,199"
South Carolina,179,"5,373,555"
Michigan,178,"10,037,261"
Tennessee,173,"7,126,489"
New Hampshire,157,"1,402,054"
Washington,118,"7,812,880"
Texas,117,"30,503,301"
Kentucky,115,"4,526,154"
Wisconsin,109,"5,910,955"
Louisiana,106,"4,573,749"
Alabama,101,"5,108,468"
Missouri,90,"6,196,156"
West Virginia,74,"1,770,071"
Minnesota,72,"5,737,915"
Vermont,70,"647,464"
Arizona,65,"7,431,344"
Mississippi,63,"2,939,690"
Oklahoma,59,"4,053,824"
Arkansas,59,"3,067,732"
Iowa,57,"3,207,004"
Colorado,57,"5,877,610"
Maine,45,"1,395,722"
Oregon,44,"4,233,358"
Utah,42,"3,417,734"
Kansas,36,"2,940,546"
Nevada,29,"3,194,176"
Nebraska,26,"1,978,379"
Idaho,24,"1,964,726"
New Mexico,17,"2,114,371"
South Dakota,12,"919,318"
North Dakota,11,"783,926"
Montana,7.8,"1,132,812"
Wyoming,6.0,"584,057"
Alaska,1.3,"733,406"
