date,restaurant,spa,beauty salon
2019-06-16,84,23,1
2019-06-23,80,22,1
2019-06-30,82,21,1
2019-07-07,80,22,1
2019-07-14,83,22,1
2019-07-21,84,22,1
2019-07-28,85,23,1
2019-08-04,84,22,1
2019-08-11,84,21,1
2019-08-18,78,21,1
2019-08-25,73,20,1
2019-09-01,75,19,1
2019-09-08,69,19,1
2019-09-15,71,20,1
2019-09-22,71,20,1
2019-09-29,72,20,1
2019-10-06,71,19,1
2019-10-13,68,18,1
2019-10-20,68,19,1
2019-10-27,65,18,1
2019-11-03,73,19,1
2019-11-10,68,19,1
2019-11-17,67,20,1
2019-11-24,67,18,1
2019-12-01,61,20,1
2019-12-08,66,20,1
2019-12-15,71,24,1
2019-12-22,86,27,1
2019-12-29,84,23,1
2020-01-05,72,22,1
2020-01-12,67,22,1
2020-01-19,77,22,1
2020-01-26,71,21,1
2020-02-02,72,22,1
2020-02-09,83,25,1
2020-02-16,77,23,1
2020-02-23,71,21,1
2020-03-01,70,21,1
2020-03-08,60,18,1
2020-03-15,58,13,1
2020-03-22,39,9,1
2020-03-29,42,8,1
2020-04-05,44,8,0
2020-04-12,44,8,0
2020-04-19,46,10,1
2020-04-26,48,11,1
2020-05-03,53,14,1
2020-05-10,55,15,1
2020-05-17,54,16,1
2020-05-24,56,17,1
2020-05-31,60,18,1
2020-06-07,61,20,1
2020-06-14,69,21,1
2020-06-21,68,21,1
2020-06-28,65,19,1
2020-07-05,64,19,1
2020-07-12,68,19,1
2020-07-19,66,19,1
2020-07-26,66,19,1
2020-08-02,66,19,1
2020-08-09,62,18,1
2020-08-16,66,19,1
2020-08-23,65,17,1
2020-08-30,66,18,1
2020-09-06,65,17,1
2020-09-13,63,16,1
2020-09-20,64,17,1
2020-09-27,63,16,1
2020-10-04,67,18,1
2020-10-11,68,18,1
2020-10-18,70,18,1
2020-10-25,62,16,1
2020-11-01,54,13,1
2020-11-08,63,16,1
2020-11-15,62,17,1
2020-11-22,60,16,1
2020-11-29,54,16,1
2020-12-06,57,16,1
2020-12-13,57,18,1
2020-12-20,65,18,1
2020-12-27,69,19,1
2021-01-03,58,17,1
2021-01-10,59,18,1
2021-01-17,60,18,1
2021-01-24,64,18,1
2021-01-31,64,19,1
2021-02-07,65,21,1
2021-02-14,71,19,1
2021-02-21,71,20,1
2021-02-28,74,20,1
2021-03-07,71,21,1
2021-03-14,76,26,1
2021-03-21,77,25,1
2021-03-28,81,24,1
2021-04-04,80,22,1
2021-04-11,80,23,1
2021-04-18,79,24,1
2021-04-25,80,23,1
2021-05-02,90,29,1
2021-05-09,86,26,1
2021-05-16,84,25,1
2021-05-23,86,25,1
2021-05-30,84,24,1
2021-06-06,87,24,1
2021-06-13,94,25,1
2021-06-20,88,24,1
2021-06-27,91,25,1
2021-07-04,94,26,1
2021-07-11,100,26,1
2021-07-18,96,25,1
2021-07-25,94,25,1
2021-08-01,94,23,1
2021-08-08,96,23,1
2021-08-15,88,23,1
2021-08-22,84,22,1
2021-08-29,79,24,1
2021-09-05,84,22,1
2021-09-12,79,21,1
2021-09-19,82,21,1
2021-09-26,82,21,1
2021-10-03,81,21,1
2021-10-10,88,22,1
2021-10-17,83,21,1
2021-10-24,77,21,1
2021-10-31,83,21,1
2021-11-07,86,22,1
2021-11-14,80,21,1
2021-11-21,80,21,1
2021-11-28,73,20,1
2021-12-05,78,21,1
2021-12-12,80,23,1
2021-12-19,81,24,1
2021-12-26,90,22,1
2022-01-02,74,21,1
2022-01-09,70,20,1
2022-01-16,73,20,1
2022-01-23,73,20,1
2022-01-30,78,22,1
2022-02-06,89,25,1
2022-02-13,93,23,1
2022-02-20,88,22,1
2022-02-27,89,23,1
2022-03-06,88,24,1
2022-03-13,95,24,1
2022-03-20,89,23,1
2022-03-27,85,22,1
2022-04-03,93,22,1
2022-04-10,82,22,1
2022-04-17,86,22,1
2022-04-24,89,23,1
2022-05-01,90,25,1
2022-05-08,92,24,1
2022-05-15,82,21,1
2022-05-22,86,21,1
2022-05-29,89,22,1
2022-06-05,85,23,1
2022-06-12,92,23,1
2022-06-19,94,23,1
2022-06-26,92,23,1
2022-07-03,95,21,1
2022-07-10,98,23,1
2022-07-17,96,23,1
2022-07-24,97,22,1
2022-07-31,92,23,1
2022-08-07,86,22,1
2022-08-14,92,23,1
2022-08-21,87,22,1
2022-08-28,84,21,1
2022-09-04,86,20,1
2022-09-11,80,19,1
2022-09-18,77,19,1
2022-09-25,79,19,1
2022-10-02,82,19,1
2022-10-09,83,19,1
2022-10-16,79,19,1
2022-10-23,78,18,1
2022-10-30,79,19,1
2022-11-06,77,19,1
2022-11-13,72,19,1
2022-11-20,73,19,1
2022-11-27,69,19,1
2022-12-04,70,19,1
2022-12-11,78,21,1
2022-12-18,80,24,1
2022-12-25,95,25,1
2023-01-01,83,22,1
2023-01-08,80,21,1
2023-01-15,89,22,1
2023-01-22,82,21,1
2023-01-29,80,20,1
2023-02-05,80,23,1
2023-02-12,88,22,1
2023-02-19,85,21,1
2023-02-26,84,21,1
2023-03-05,81,22,1
2023-03-12,84,21,1
2023-03-19,83,21,1
2023-03-26,83,22,1
2023-04-02,81,22,1
2023-04-09,84,21,1
2023-04-16,81,22,1
2023-04-23,80,22,1
2023-04-30,86,23,1
2023-05-07,85,26,1
2023-05-14,86,24,1
2023-05-21,87,23,1
2023-05-28,88,21,1
2023-06-04,84,23,1
2023-06-11,86,23,1
2023-06-18,90,22,1
2023-06-25,89,22,1
2023-07-02,98,23,1
2023-07-09,85,22,1
2023-07-16,83,23,1
2023-07-23,89,24,1
2023-07-30,90,22,1
2023-08-06,86,22,1
2023-08-13,85,21,1
2023-08-20,80,21,1
2023-08-27,80,21,1
