date,restaurant,spa,beauty salon
2019-06-16,73,19,1
2019-06-23,75,16,1
2019-06-30,76,16,1
2019-07-07,71,16,1
2019-07-14,73,17,1
2019-07-21,72,17,1
2019-07-28,68,16,1
2019-08-04,72,16,1
2019-08-11,69,16,1
2019-08-18,65,15,1
2019-08-25,51,13,1
2019-09-01,51,13,1
2019-09-08,58,13,1
2019-09-15,62,15,1
2019-09-22,59,13,1
2019-09-29,63,15,1
2019-10-06,63,14,1
2019-10-13,60,15,1
2019-10-20,61,14,1
2019-10-27,57,13,1
2019-11-03,65,15,1
2019-11-10,63,12,1
2019-11-17,63,15,1
2019-11-24,64,17,1
2019-12-01,58,14,1
2019-12-08,63,15,1
2019-12-15,61,18,1
2019-12-22,87,20,1
2019-12-29,83,17,1
2020-01-05,67,16,1
2020-01-12,70,17,1
2020-01-19,72,16,1
2020-01-26,69,15,1
2020-02-02,71,15,1
2020-02-09,88,18,1
2020-02-16,79,17,1
2020-02-23,75,15,1
2020-03-01,68,17,1
2020-03-08,63,14,1
2020-03-15,55,11,1
2020-03-22,34,9,1
2020-03-29,33,7,0
2020-04-05,34,7,0
2020-04-12,33,7,0
2020-04-19,34,8,1
2020-04-26,38,8,1
2020-05-03,47,11,1
2020-05-10,51,13,1
2020-05-17,52,14,1
2020-05-24,53,13,1
2020-05-31,53,13,1
2020-06-07,57,14,1
2020-06-14,63,15,1
2020-06-21,62,14,1
2020-06-28,58,12,1
2020-07-05,58,13,1
2020-07-12,54,13,1
2020-07-19,54,14,1
2020-07-26,53,14,1
2020-08-02,52,14,1
2020-08-09,56,15,1
2020-08-16,54,14,1
2020-08-23,54,13,1
2020-08-30,55,14,1
2020-09-06,62,14,1
2020-09-13,56,14,1
2020-09-20,58,13,1
2020-09-27,57,16,1
2020-10-04,59,14,1
2020-10-11,62,15,1
2020-10-18,62,14,1
2020-10-25,56,13,1
2020-11-01,49,11,1
2020-11-08,57,14,1
2020-11-15,59,14,1
2020-11-22,62,14,1
2020-11-29,53,13,1
2020-12-06,55,13,1
2020-12-13,59,14,1
2020-12-20,68,13,1
2020-12-27,83,15,1
2021-01-03,62,14,1
2021-01-10,60,14,1
2021-01-17,65,13,1
2021-01-24,66,15,1
