date,restaurant,spa,beauty salon
2019-06-16,81,27,1
2019-06-23,87,27,1
2019-06-30,87,25,1
2019-07-07,85,26,1
2019-07-14,90,28,1
2019-07-21,100,29,1
2019-07-28,94,28,1
2019-08-04,89,27,1
2019-08-11,88,29,1
2019-08-18,86,30,1
2019-08-25,83,24,1
2019-09-01,84,23,1
2019-09-08,78,22,1
2019-09-15,75,24,1
2019-09-22,76,23,1
2019-09-29,78,22,1
2019-10-06,79,21,1
2019-10-13,78,20,1
2019-10-20,77,23,1
2019-10-27,73,20,1
2019-11-03,77,23,1
2019-11-10,80,23,1
2019-11-17,73,21,1
2019-11-24,71,23,1
2019-12-01,67,20,1
2019-12-08,73,24,1
2019-12-15,74,27,1
2019-12-22,91,31,1
2019-12-29,81,27,1
2020-01-05,77,25,1
2020-01-12,74,27,1
2020-01-19,84,27,1
2020-01-26,86,23,1
2020-02-02,74,25,1
2020-02-09,85,29,1
2020-02-16,83,27,1
2020-02-23,71,24,1
2020-03-01,76,23,1
2020-03-08,59,20,1
2020-03-15,51,13,1
2020-03-22,37,9,0
2020-03-29,41,9,0
2020-04-05,39,9,0
2020-04-12,40,10,0
2020-04-19,41,9,0
2020-04-26,41,10,0
2020-05-03,46,11,1
2020-05-10,47,11,1
2020-05-17,42,12,1
2020-05-24,43,13,1
2020-05-31,45,13,1
2020-06-07,52,17,2
2020-06-14,58,17,1
2020-06-21,64,22,2
2020-06-28,64,18,2
2020-07-05,63,23,1
2020-07-12,67,21,1
2020-07-19,68,20,1
2020-07-26,68,20,1
2020-08-02,70,19,1
2020-08-09,70,22,1
2020-08-16,72,22,1
2020-08-23,69,20,1
2020-08-30,71,20,1
2020-09-06,70,20,1
2020-09-13,64,17,1
2020-09-20,64,16,1
2020-09-27,68,19,1
2020-10-04,66,22,1
2020-10-11,67,19,1
2020-10-18,67,18,1
2020-10-25,61,17,1
2020-11-01,53,15,1
2020-11-08,63,17,1
2020-11-15,58,16,1
2020-11-22,54,16,1
2020-11-29,53,14,1
2020-12-06,57,16,1
2020-12-13,51,17,1
2020-12-20,58,18,1
2020-12-27,67,18,1
2021-01-03,51,17,1
2021-01-10,56,18,1
2021-01-17,58,17,1
2021-01-24,69,17,1
2021-01-31,59,17,1
2021-02-07,63,21,1
2021-02-14,69,19,1
2021-02-21,62,19,1
2021-02-28,65,21,1
2021-03-07,67,21,1
2021-03-14,72,24,1
2021-03-21,73,23,1
2021-03-28,72,23,1
2021-04-04,68,22,1
2021-04-11,73,23,1
2021-04-18,75,22,1
2021-04-25,80,22,1
2021-05-02,88,27,1
2021-05-09,83,24,1
2021-05-16,81,24,1
2021-05-23,77,24,1
2021-05-30,80,25,1
2021-06-06,71,23,1
2021-06-13,84,23,1
2021-06-20,87,24,1
2021-06-27,79,26,1
2021-07-04,84,25,1
2021-07-11,89,26,1
2021-07-18,91,23,1
2021-07-25,85,26,1
2021-08-01,88,24,1
2021-08-08,87,23,1
2021-08-15,87,23,1
2021-08-22,82,21,1
2021-08-29,78,24,1
2021-09-05,78,21,1
2021-09-12,73,21,1
2021-09-19,76,21,1
2021-09-26,76,20,1
2021-10-03,75,21,1
2021-10-10,79,20,1
2021-10-17,74,21,1
2021-10-24,75,21,1
2021-10-31,76,20,1
2021-11-07,81,22,1
2021-11-14,74,19,1
2021-11-21,72,17,1
2021-11-28,68,21,1
2021-12-05,79,20,1
2021-12-12,77,20,1
2021-12-19,71,19,1
2021-12-26,80,20,1
2022-01-02,65,20,1
2022-01-09,65,19,1
2022-01-16,71,17,1
2022-01-23,70,19,1
2022-01-30,72,22,1
2022-02-06,83,28,1
2022-02-13,82,24,1
2022-02-20,83,24,1
2022-02-27,81,25,1
2022-03-06,78,23,1
2022-03-13,81,24,1
2022-03-20,85,25,1
2022-03-27,77,23,1
2022-04-03,77,23,1
2022-04-10,82,23,1
2022-04-17,86,25,1
2022-04-24,78,24,1
2022-05-01,83,27,1
2022-05-08,85,26,1
2022-05-15,79,22,1
2022-05-22,76,22,1
2022-05-29,81,23,1
2022-06-05,79,23,1
2022-06-12,86,25,1
2022-06-19,85,24,1
2022-06-26,84,24,1
2022-07-03,86,24,1
2022-07-10,88,26,1
2022-07-17,94,25,1
2022-07-24,91,25,1
2022-07-31,89,24,1
2022-08-07,86,24,1
2022-08-14,93,25,1
2022-08-21,87,23,1
2022-08-28,81,25,1
2022-09-04,80,18,1
2022-09-11,77,19,1
2022-09-18,73,22,1
2022-09-25,76,18,1
2022-10-02,76,20,1
2022-10-09,77,19,1
2022-10-16,77,21,1
2022-10-23,77,18,1
2022-10-30,74,20,1
2022-11-06,78,20,1
2022-11-13,74,20,1
2022-11-20,71,17,1
2022-11-27,67,21,1
2022-12-04,67,21,1
2022-12-11,72,24,1
2022-12-18,76,26,1
2022-12-25,88,26,1
2023-01-01,77,25,1
2023-01-08,83,27,1
2023-01-15,83,25,1
2023-01-22,81,24,1
2023-01-29,77,24,1
2023-02-05,80,25,1
2023-02-12,81,27,1
2023-02-19,82,27,1
2023-02-26,70,23,1
2023-03-05,75,24,1
2023-03-12,75,23,1
2023-03-19,82,24,1
2023-03-26,77,24,1
2023-04-02,81,25,1
2023-04-09,78,24,1
2023-04-16,82,23,1
2023-04-23,80,25,1
2023-04-30,79,25,1
2023-05-07,80,26,1
2023-05-14,84,24,1
2023-05-21,79,23,1
2023-05-28,82,23,1
2023-06-04,77,22,1
2023-06-11,85,25,1
2023-06-18,88,23,1
2023-06-25,86,25,1
2023-07-02,92,25,1
2023-07-09,83,24,1
2023-07-16,81,25,1
2023-07-23,85,25,1
2023-07-30,87,25,1
2023-08-06,86,25,1
2023-08-13,95,26,1
2023-08-20,86,24,1
2023-08-27,78,24,1
2023-09-03,76,24,1
2023-09-10,74,22,1
2023-09-17,82,22,1
2023-09-24,71,21,1
2023-10-01,77,21,1
2023-10-08,75,20,1
2023-10-15,75,21,1
2023-10-22,72,19,1
2023-10-29,71,20,1
2023-11-05,71,21,1
2023-11-12,74,21,1
2023-11-19,70,20,1
2023-11-26,69,22,1
2023-12-03,72,24,1
2023-12-10,78,26,1
2023-12-17,77,27,1
2023-12-24,78,26,1
2023-12-31,72,26,1
2024-01-07,69,25,1
2024-01-14,73,24,1
2024-01-21,71,23,1
2024-01-28,73,25,1
2024-02-04,74,26,1
2024-02-11,69,28,1
2024-02-18,77,25,1
2024-02-25,72,23,1
2024-03-03,71,23,1
2024-03-10,74,24,1
2024-03-17,73,24,1
2024-03-24,71,21,1
2024-03-31,72,23,1
2024-04-07,75,22,1
2024-04-14,72,22,1
2024-04-21,78,23,1
2024-04-28,72,24,1
2024-05-05,81,27,1
2024-05-12,78,25,1
2024-05-19,71,24,1
2024-05-26,80,21,1
2024-06-02,72,25,1
2024-06-09,81,26,1
2024-06-16,78,25,1
