date,restaurant,spa,beauty salon
2019-06-16,80,19,1
2019-06-23,79,20,1
2019-06-30,81,20,1
2019-07-07,80,20,1
2019-07-14,79,19,1
2019-07-21,81,19,1
2019-07-28,83,21,1
2019-08-04,85,21,1
2019-08-11,87,19,1
2019-08-18,82,18,1
2019-08-25,76,18,1
2019-09-01,72,18,1
2019-09-08,71,17,1
2019-09-15,85,16,1
2019-09-22,76,17,1
2019-09-29,69,16,1
2019-10-06,72,16,1
2019-10-13,68,15,1
2019-10-20,70,16,1
2019-10-27,67,15,1
2019-11-03,70,17,1
2019-11-10,70,15,1
2019-11-17,67,16,1
2019-11-24,66,16,1
2019-12-01,63,18,1
2019-12-08,67,19,1
2019-12-15,68,21,1
2019-12-22,86,24,1
2019-12-29,84,21,1
2020-01-05,78,19,1
2020-01-12,86,20,1
2020-01-19,85,21,1
2020-01-26,72,19,1
2020-02-02,71,19,1
2020-02-09,84,22,1
2020-02-16,80,20,1
2020-02-23,75,20,1
2020-03-01,78,20,1
2020-03-08,56,17,1
2020-03-15,50,12,1
2020-03-22,38,8,1
2020-03-29,41,7,0
2020-04-05,38,7,0
2020-04-12,40,8,0
2020-04-19,46,8,0
2020-04-26,48,9,1
2020-05-03,57,11,1
2020-05-10,54,12,1
2020-05-17,51,13,1
2020-05-24,52,13,1
2020-05-31,54,14,1
2020-06-07,66,18,1
2020-06-14,68,20,1
2020-06-21,72,22,2
2020-06-28,72,22,1
2020-07-05,67,19,1
2020-07-12,65,19,1
2020-07-19,68,19,1
2020-07-26,65,18,1
2020-08-02,64,18,1
2020-08-09,75,19,1
2020-08-16,74,18,1
2020-08-23,66,17,1
2020-08-30,67,17,1
2020-09-06,73,16,1
2020-09-13,69,16,1
2020-09-20,70,16,1
2020-09-27,65,16,1
2020-10-04,72,15,1
2020-10-11,71,16,1
2020-10-18,66,16,1
2020-10-25,61,15,1
2020-11-01,53,13,1
2020-11-08,62,15,1
2020-11-15,61,14,1
2020-11-22,56,14,1
2020-11-29,51,14,1
2020-12-06,59,15,1
2020-12-13,54,15,1
2020-12-20,55,16,1
2020-12-27,66,16,1
2021-01-03,64,17,1
2021-01-10,66,18,1
2021-01-17,63,15,1
2021-01-24,62,16,1
2021-01-31,58,17,1
2021-02-07,66,20,1
2021-02-14,65,19,1
2021-02-21,67,19,1
2021-02-28,71,20,1
2021-03-07,74,20,1
2021-03-14,73,22,1
2021-03-21,75,22,1
2021-03-28,78,20,1
2021-04-04,78,22,1
2021-04-11,80,22,1
2021-04-18,78,22,1
2021-04-25,80,22,1
2021-05-02,94,26,1
2021-05-09,93,24,1
2021-05-16,90,24,1
2021-05-23,86,24,1
2021-05-30,86,23,1
2021-06-06,84,25,1
2021-06-13,88,24,1
2021-06-20,92,22,1
2021-06-27,88,24,1
2021-07-04,95,23,1
2021-07-11,100,24,1
2021-07-18,94,24,1
2021-07-25,94,24,1
2021-08-01,90,23,1
2021-08-08,95,22,1
2021-08-15,94,23,1
2021-08-22,83,22,1
2021-08-29,76,20,1
2021-09-05,85,20,1
2021-09-12,83,20,1
2021-09-19,87,19,1
2021-09-26,83,20,1
2021-10-03,83,19,1
2021-10-10,85,21,1
2021-10-17,85,19,1
2021-10-24,79,18,1
2021-10-31,83,19,1
2021-11-07,85,20,1
2021-11-14,80,20,1
2021-11-21,76,18,1
2021-11-28,72,20,1
2021-12-05,80,21,1
2021-12-12,84,23,1
2021-12-19,83,22,1
2021-12-26,89,20,1
2022-01-02,76,19,1
2022-01-09,80,19,1
2022-01-16,76,18,1
2022-01-23,73,19,1
2022-01-30,85,20,1
2022-02-06,86,22,1
2022-02-13,94,21,1
2022-02-20,93,21,1
2022-02-27,91,21,1
2022-03-06,82,20,1
2022-03-13,83,21,1
2022-03-20,87,21,1
2022-03-27,80,19,1
2022-04-03,89,18,1
2022-04-10,81,19,1
2022-04-17,81,18,1
2022-04-24,82,20,1
2022-05-01,93,23,1
2022-05-08,87,21,1
